,index,table_id,annotator_id,premise,hypothesis,label,premise_cleaned,Rel_with_toks
0,0,T31,GW1," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Years active of Eva Mendes are 1998 - present.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present). ",Eva Mendes was born in the Fall of 1974.,0,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the years active of eva mendes are 1998  -  present .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  . ","[(('birth', 1), ('born', 3), 0, ['RelatedTo']), (('born', 3), ('birth', 1), 1, ['RelatedTo']), (('age', 30), ('born', 3), 0, ['RelatedTo'])]"
1,1,T31,GW1," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present).  The Children of Eva Mendes are 2.  ",Eva Mendes and Ryan Gosling will stay married for the rest of their lives.,1,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  .   the children of eva mendes are 2 . ","[(('birth', 1), ('married', 7), 0, ['Co-Hyponym']), (('married', 7), ('birth', 1), 1, ['Co-Hyponym']), (('age', 30), ('stay', 6), 0, ['RelatedTo']), (('age', 30), ('lives', 13), 0, ['RelatedTo']), (('partner', 43), ('married', 7), 0, ['Co-Hyponym']), (('married', 7), ('partner', 43), 1, ['Co-Hyponym'])]"
2,2,T31,GW1," Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Years active of Eva Mendes are 1998 - present.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present).  The Children of Eva Mendes are 2.  ",Eva Mendes' career in film has spanned over 20 years.,2,"eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the years active of eva mendes are 1998  -  present .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  .   the children of eva mendes are 2 . ","[(('march', 5), ('career', 3), 0, ['Co-Hyponym']), (('career', 3), ('march', 5), 1, ['Co-Hyponym']), (('age', 17), ('years', 10), 0, ['Antonym', 'Synonym', 'RelatedTo', 'Co-Hyponym']), (('years', 10), ('age', 17), 1, ['Synonym', 'Co-Hyponym'])]"
3,3,T31,GW2," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Occupation of Eva Mendes are Actress, model, businesswoman.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present). ",Eva Mendes was born in the northern U.S.,0,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the occupation of eva mendes are actress ,  model ,  businesswoman .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  . ","[(('birth', 1), ('born', 3), 0, ['RelatedTo']), (('born', 3), ('birth', 1), 1, ['RelatedTo']), (('age', 30), ('born', 3), 0, ['RelatedTo'])]"
4,4,T31,GW2," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  The Occupation of Eva Mendes are Actress, model, businesswoman.  The Years active of Eva Mendes are 1998 - present.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present). ",Eva Mendes is still working as a model.,1,"the birth name of eva mendes are eva de la caridad méndez .   the occupation of eva mendes are actress ,  model ,  businesswoman .   the years active of eva mendes are 1998  -  present .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  . ","[(('present', 34), ('model', 7), 0, ['Co-Hyponym']), (('model', 7), ('present', 34), 1, ['Co-Hyponym']), (('present', 50), ('model', 7), 0, ['Co-Hyponym']), (('model', 7), ('present', 50), 1, ['Co-Hyponym'])]"
5,5,T31,GW2," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Years active of Eva Mendes are 1998 - present.  The Children of Eva Mendes are 2.  ",Eva Mendes has two children.,2,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the years active of eva mendes are 1998  -  present .   the children of eva mendes are 2 . ","[(('name', 2), ('two', 3), 0, ['RelatedTo']), (('two', 3), ('de', 8), 1, ['Synonym']), (('5', 19), ('two', 3), 0, ['Co-Hyponym']), (('two', 3), ('5', 19), 1, ['Co-Hyponym']), (('children', 4), ('age', 30), 1, ['RelatedTo']), (('2', 59), ('two', 3), 0, ['Synonym', 'HasProperty']), (('two', 3), ('2', 59), 1, ['Synonym', 'RelatedTo', 'HasProperty'])]"
6,6,T31,GW4," Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Years active of Eva Mendes are 1998 - present.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present).  The Children of Eva Mendes are 2.  ",Eva Mendes has been married to different people since 2011.,0,"eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the years active of eva mendes are 1998  -  present .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  .   the children of eva mendes are 2 . ","[(('people', 7), ('born', 3), 1, ['ReceivesAction']), (('march', 5), ('people', 7), 0, ['RelatedTo']), (('age', 17), ('people', 7), 0, ['RelatedTo']), (('age', 17), ('since', 8), 0, ['RelatedTo']), (('active', 31), ('married', 4), 0, ['Co-Hyponym']), (('married', 4), ('active', 31), 1, ['Co-Hyponym']), (('partner', 41), ('married', 4), 0, ['Co-Hyponym']), (('married', 4), ('partner', 41), 1, ['Co-Hyponym']), (('children', 58), ('people', 7), 0, ['Antonym', 'RelatedTo'])]"
7,7,T31,GW4," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Occupation of Eva Mendes are Actress, model, businesswoman.  The Partner(s) of Eva Mendes are Ryan Gosling (2011 - present). ",Eva Mendes is known for her business skills.,1,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the occupation of eva mendes are actress ,  model ,  businesswoman .   the partner ( s )  of eva mendes are ryan gosling  ( 2011  -  present )  . ","[(('occupation', 43), ('business', 6), 0, ['Synonym', 'Co-Hyponym']), (('business', 6), ('occupation', 43), 1, ['Synonym', 'RelatedTo', 'Co-Hyponym']), (('businesswoman', 52), ('business', 6), 0, ['DerivedFrom', 'RelatedTo']), (('partner', 55), ('business', 6), 0, ['RelatedTo'])]"
8,8,T31,GW4," The Birth name of Eva Mendes are Eva de la Caridad Méndez.  Eva Mendes was Born on March 5, 1974  ( 1974-03-05 )  (age 44)   Miami, Florida, U.S..  The Occupation of Eva Mendes are Actress, model, businesswoman.  The Years active of Eva Mendes are 1998 - present. ",Eva Mendes was born on the east coast of the United States.,2,"the birth name of eva mendes are eva de la caridad méndez .   eva mendes was born on march 5 ,  1974   (  1974 - 03 - 05  )    ( age 44 )    miami ,  florida ,  u . s .  .   the occupation of eva mendes are actress ,  model ,  businesswoman .   the years active of eva mendes are 1998  -  present . ","[(('birth', 1), ('born', 3), 0, ['RelatedTo']), (('born', 3), ('birth', 1), 1, ['RelatedTo']), (('coast', 7), ('name', 2), 1, ['RelatedTo']), (('age', 30), ('born', 3), 0, ['RelatedTo']), (('coast', 7), ('florida', 35), 1, ['AtLocation'])]"
9,9,T46,GW1," Janet Leigh was Born on Jeanette Helen Morrison   ( 1927-07-06 ) July 6, 1927  Merced, California, U.S..  Janet Leigh was Died on October 3, 2004 (2004-10-03)  (aged 77)  Los Angeles, California, U.S..  The Years active of Janet Leigh are 1947 - 2004.  The Spouse(s) of Janet Leigh are John Carlisle ( m.  1942; annulled 1942), Stanley Reames ( m.  1945;  div.  1949), Tony Curtis ( m.  1951;  div.  1962), and Robert Brandt ( m.  1962). ",Janet Leigh's career spanned under 55 years long.,0,"janet leigh was born on jeanette helen morrison    (  1927 - 07 - 06  )  july 6 ,  1927  merced ,  california ,  u . s .  .   janet leigh was died on october 3 ,  2004  ( 2004 - 10 - 03 )    ( aged 77 )   los angeles ,  california ,  u . s .  .   the years active of janet leigh are 1947  -  2004 .   the spouse ( s )  of janet leigh are john carlisle  (  m .   1942 ;  annulled 1942 )  ,  stanley reames  (  m .   1945 ;   div .   1949 )  ,  tony curtis  (  m .   1951 ;   div .   1962 )  ,  and robert brandt  (  m .   1962 )  . ",
