,index,table_id,annotator_id,premise,hypothesis,label,premise_cleaned,Rel_with_toks
0,0,T2045,GW74, The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Survivors of 1950 British Columbia B-36 crash are 12.   The Aircraft type of 1950 British Columbia B-36 crash are Convair B-36B. ,Most of the survivors were crew.,2,the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the survivors of 1950 british columbia b - 36 crash are 12 .    the aircraft type of 1950 british columbia b - 36 crash are convair b - 36b . ,"[(('crew', 5), ('british', 4), 1, ['HasContext']), (('crew', 5), ('british', 17), 1, ['HasContext']), (('crew', 5), ('british', 30), 1, ['HasContext']), (('crew', 5), ('british', 44), 1, ['HasContext'])]"
1,1,T2045,GW74, The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Fatalities of 1950 British Columbia B-36 crash are 5.  The Survivors of 1950 British Columbia B-36 crash are 12.  ,The five fatalities included 1 passenger,1,the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the fatalities of 1950 british columbia b - 36 crash are 5 .   the survivors of 1950 british columbia b - 36 crash are 12 . ,"[(('passengers', 1), ('passenger', 5), 0, ['RelatedTo', 'FormOf']), (('1', 11), ('five', 1), 0, ['Co-Hyponym']), (('five', 1), ('1', 11), 1, ['Co-Hyponym']), (('crew', 14), ('five', 1), 0, ['Co-Hyponym']), (('five', 1), ('crew', 14), 1, ['Co-Hyponym']), (('passenger', 5), ('crew', 14), 1, ['RelatedTo']), (('5', 37), ('five', 1), 0, ['HasProperty', 'Synonym']), (('five', 1), ('5', 37), 1, ['RelatedTo', 'Synonym']), (('5', 37), ('1', 4), 0, ['Co-Hyponym']), (('1', 4), ('5', 37), 1, ['Co-Hyponym'])]"
2,2,T2045,GW74, The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Survivors of 1950 British Columbia B-36 crash are 12.   The Aircraft type of 1950 British Columbia B-36 crash are Convair B-36B. ,There were more survivors than there were crew.,0,the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the survivors of 1950 british columbia b - 36 crash are 12 .    the aircraft type of 1950 british columbia b - 36 crash are convair b - 36b . ,"[(('crew', 7), ('british', 4), 1, ['HasContext']), (('crew', 7), ('british', 17), 1, ['HasContext']), (('crew', 7), ('british', 30), 1, ['HasContext']), (('crew', 7), ('british', 44), 1, ['HasContext'])]"
3,3,T2045,GW52, The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Fatalities of 1950 British Columbia B-36 crash are 5.  The Survivors of 1950 British Columbia B-36 crash are 12.  ,Most of the 1950 British Columbia B-36 crash victims survived.,2,the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the fatalities of 1950 british columbia b - 36 crash are 5 .   the survivors of 1950 british columbia b - 36 crash are 12 . ,"[(('crew', 14), ('british', 4), 0, ['HasContext'])]"
4,4,T2045,GW52," The Summary of 1950 British Columbia B-36 crash are Engine failure.  The Site of 1950 British Columbia B-36 crash are over British Columbia, Canada  , 56°1′27.61″N 128°37′11.91″W﻿ / ﻿56.0243361°N 128.6199750°W﻿ / 56.0243361; -128.6199750Coordinates: 56°1′27.61″N 128°37′11.91″W﻿ / ﻿56.0243361°N 128.6199750°W﻿ / 56.0243361; -128.6199750.  The Aircraft type of 1950 British Columbia B-36 crash are Convair B-36B.  The Destination of 1950 British Columbia B-36 crash are Carswell Air Force Base in Fort Worth, Texas. ",The 1950 British Coluimbia B-36 crash report engine problems before the crash.,1,"the summary of 1950 british columbia b - 36 crash are engine failure .   the site of 1950 british columbia b - 36 crash are over british columbia ,  canada   ,  56 ° 1 ′ 27 . 61″n 128 ° 37 ′ 11 . 91″w﻿  /  ﻿56 . 0243361 ° n 128 . 6199750 ° w﻿  /  56 . 0243361 ;   - 128 . 6199750coordinates :  56 ° 1 ′ 27 . 61″n 128 ° 37 ′ 11 . 91″w﻿  /  ﻿56 . 0243361 ° n 128 . 6199750 ° w﻿  /  56 . 0243361 ;   - 128 . 6199750 .   the aircraft type of 1950 british columbia b - 36 crash are convair b - 36b .   the destination of 1950 british columbia b - 36 crash are carswell air force base in fort worth ,  texas . ","[(('report', 8), ('summary', 1), 1, ['RelatedTo']), (('crash', 9), ('report', 8), 0, ['Co-Hyponym']), (('report', 8), ('crash', 9), 1, ['Co-Hyponym']), (('failure', 12), ('crash', 7), 0, ['Co-Hyponym']), (('crash', 7), ('failure', 12), 1, ['Co-Hyponym']), (('failure', 12), ('crash', 13), 0, ['Co-Hyponym']), (('crash', 13), ('failure', 12), 1, ['Co-Hyponym']), (('crash', 23), ('report', 8), 0, ['Co-Hyponym']), (('report', 8), ('crash', 23), 1, ['Co-Hyponym']), (('n', 50), ('b', 4), 0, ['Co-Hyponym']), (('b', 4), ('n', 50), 1, ['Co-Hyponym']), (('n', 85), ('b', 4), 0, ['Co-Hyponym']), (('b', 4), ('n', 85), 1, ['Co-Hyponym']), (('crash', 111), ('report', 8), 0, ['Co-Hyponym']), (('report', 8), ('crash', 111), 1, ['Co-Hyponym']), (('crash', 127), ('report', 8), 0, ['Co-Hyponym']), (('report', 8), ('crash', 127), 1, ['Co-Hyponym']), (('air', 130), ('british', 2), 0, ['HasContext']), (('crash', 7), ('force', 131), 1, ['RelatedTo']), (('force', 131), ('engine', 9), 0, ['Co-Hyponym']), (('engine', 9), ('force', 131), 1, ['Co-Hyponym']), (('crash', 13), ('force', 131), 1, ['RelatedTo'])]"
5,5,T2045,GW52," The Summary of 1950 British Columbia B-36 crash are Engine failure.  The Aircraft type of 1950 British Columbia B-36 crash are Convair B-36B.  The Flight origin of 1950 British Columbia B-36 crash are Eielson Air Force Base , near Fairbanks, Alaska,  , United States.  The Destination of 1950 British Columbia B-36 crash are Carswell Air Force Base in Fort Worth, Texas. ",The 1950 B-36 crash was due to birds entering the engine bay.,0,"the summary of 1950 british columbia b - 36 crash are engine failure .   the aircraft type of 1950 british columbia b - 36 crash are convair b - 36b .   the flight origin of 1950 british columbia b - 36 crash are eielson air force base  ,  near fairbanks ,  alaska ,    ,  united states .   the destination of 1950 british columbia b - 36 crash are carswell air force base in fort worth ,  texas . ","[(('failure', 12), ('crash', 5), 0, ['Co-Hyponym']), (('crash', 5), ('failure', 12), 1, ['Co-Hyponym']), (('bay', 13), ('aircraft', 15), 1, ['PartOf']), (('flight', 32), ('bay', 13), 0, ['Synonym']), (('birds', 9), ('air', 44), 1, ['AtLocation']), (('crash', 5), ('force', 45), 1, ['RelatedTo']), (('force', 45), ('engine', 12), 0, ['Co-Hyponym']), (('engine', 12), ('force', 45), 1, ['Co-Hyponym']), (('birds', 9), ('air', 69), 1, ['AtLocation']), (('crash', 5), ('force', 70), 1, ['RelatedTo']), (('force', 70), ('engine', 12), 0, ['Co-Hyponym']), (('engine', 12), ('force', 70), 1, ['Co-Hyponym'])]"
6,6,T2045,GW95," The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Site of 1950 British Columbia B-36 crash are over British Columbia, Canada  , 56°1′27.61″N 128°37′11.91″W﻿ / ﻿56.0243361°N 128.6199750°W﻿ / 56.0243361; -128.6199750Coordinates: 56°1′27.61″N 128°37′11.91″W﻿ / ﻿56.0243361°N 128.6199750°W﻿ / 56.0243361; -128.6199750.  The Survivors of 1950 British Columbia B-36 crash are 12.  ",There was one passenger for every 16 crew members.,2,"the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the site of 1950 british columbia b - 36 crash are over british columbia ,  canada   ,  56 ° 1 ′ 27 . 61″n 128 ° 37 ′ 11 . 91″w﻿  /  ﻿56 . 0243361 ° n 128 . 6199750 ° w﻿  /  56 . 0243361 ;   - 128 . 6199750coordinates :  56 ° 1 ′ 27 . 61″n 128 ° 37 ′ 11 . 91″w﻿  /  ﻿56 . 0243361 ° n 128 . 6199750 ° w﻿  /  56 . 0243361 ;   - 128 . 6199750 .   the survivors of 1950 british columbia b - 36 crash are 12 . ","[(('passengers', 1), ('passenger', 3), 0, ['RelatedTo', 'FormOf']), (('crew', 7), ('british', 4), 1, ['HasContext']), (('1', 11), ('one', 2), 0, ['RelatedTo', 'HasProperty', 'Synonym']), (('one', 2), ('1', 11), 1, ['RelatedTo', 'HasProperty', 'Synonym']), (('passenger', 3), ('crew', 14), 1, ['RelatedTo']), (('crew', 7), ('british', 17), 1, ['HasContext']), (('crew', 7), ('british', 30), 1, ['HasContext']), (('crew', 7), ('british', 38), 1, ['HasContext']), (('1', 45), ('one', 2), 0, ['RelatedTo', 'HasProperty', 'Synonym']), (('one', 2), ('1', 45), 1, ['RelatedTo', 'HasProperty', 'Synonym']), (('27', 47), ('16', 6), 0, ['Co-Hyponym']), (('16', 6), ('27', 47), 1, ['Co-Hyponym']), (('11', 54), ('16', 6), 0, ['Co-Hyponym']), (('16', 6), ('11', 54), 1, ['Co-Hyponym']), (('1', 80), ('one', 2), 0, ['RelatedTo', 'HasProperty', 'Synonym']), (('one', 2), ('1', 80), 1, ['RelatedTo', 'HasProperty', 'Synonym']), (('27', 82), ('16', 6), 0, ['Co-Hyponym']), (('16', 6), ('27', 82), 1, ['Co-Hyponym']), (('11', 89), ('16', 6), 0, ['Co-Hyponym']), (('16', 6), ('11', 89), 1, ['Co-Hyponym']), (('crew', 7), ('british', 117), 1, ['HasContext']), (('12', 124), ('16', 6), 0, ['Co-Hyponym']), (('16', 6), ('12', 124), 1, ['Co-Hyponym'])]"
7,7,T2045,GW95, The Crew of 1950 British Columbia B-36 crash are 16.  The Fatalities of 1950 British Columbia B-36 crash are 5.  The Survivors of 1950 British Columbia B-36 crash are 12.   The Operator of 1950 British Columbia B-36 crash are United States Air Force. ,All deaths were members of the crew.,1,the crew of 1950 british columbia b - 36 crash are 16 .   the fatalities of 1950 british columbia b - 36 crash are 5 .   the survivors of 1950 british columbia b - 36 crash are 12 .    the operator of 1950 british columbia b - 36 crash are united states air force . ,"[(('crew', 6), ('british', 4), 1, ['HasContext']), (('crew', 6), ('british', 17), 1, ['HasContext']), (('crew', 6), ('british', 30), 1, ['HasContext']), (('crew', 6), ('british', 43), 1, ['HasContext']), (('force', 53), ('crew', 6), 0, ['Co-Hyponym']), (('crew', 6), ('force', 53), 1, ['Co-Hyponym'])]"
8,8,T2045,GW95," The Passengers of 1950 British Columbia B-36 crash are 1.  The Crew of 1950 British Columbia B-36 crash are 16.  The Survivors of 1950 British Columbia B-36 crash are 12.   The Flight origin of 1950 British Columbia B-36 crash are Eielson Air Force Base , near Fairbanks, Alaska,  , United States. ",More passengers than crew members died.,0,"the passengers of 1950 british columbia b - 36 crash are 1 .   the crew of 1950 british columbia b - 36 crash are 16 .   the survivors of 1950 british columbia b - 36 crash are 12 .    the flight origin of 1950 british columbia b - 36 crash are eielson air force base  ,  near fairbanks ,  alaska ,    ,  united states . ","[(('crew', 3), ('british', 4), 1, ['HasContext']), (('crew', 3), ('british', 17), 1, ['HasContext']), (('crew', 3), ('british', 30), 1, ['HasContext']), (('crew', 3), ('british', 44), 1, ['HasContext']), (('force', 53), ('crew', 3), 0, ['Co-Hyponym']), (('crew', 3), ('force', 53), 1, ['Co-Hyponym'])]"
9,9,T2046,GW86," The Areas affected of 1999 Jiji earthquake are Taiwan.  1999 Jiji earthquake was Local date on 21 September 1999; 20 years ago (1999-09-21).  The Casualties of 1999 Jiji earthquake are 2,415 killed , 29 missing , 11,305 injured , 51,711 buildings destroyed , 53,768 buildings damaged.   The Epicenter of 1999 Jiji earthquake are Jiji (Chi-Chi), Nantou, Taiwan , 23°46′19″N 120°58′55″E﻿ / ﻿23.772°N 120.982°E﻿ / 23.772; 120.982. ","The 1999 Jiji earthquake damaged or destroyed more than 100,000 buildings.",2,"the areas affected of 1999 jiji earthquake are taiwan .   1999 jiji earthquake was local date on 21 september 1999 ;  20 years ago  ( 1999 - 09 - 21 )  .   the casualties of 1999 jiji earthquake are 2 , 415 killed  ,  29 missing  ,  11 , 305 injured  ,  51 , 711 buildings destroyed  ,  53 , 768 buildings damaged .    the epicenter of 1999 jiji earthquake are jiji  ( chi - chi )  ,  nantou ,  taiwan  ,  23 ° 46 ′ 19″n 120 ° 58 ′ 55″e﻿  /  ﻿23 . 772 ° n 120 . 982 ° e﻿  /  23 . 772 ;  120 . 982 . ","[(('21', 17), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('21', 17), 1, ['Co-Hyponym']), (('20', 21), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('20', 21), 1, ['Co-Hyponym']), (('21', 29), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('21', 29), 1, ['Co-Hyponym']), (('29', 44), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('29', 44), 1, ['Co-Hyponym']), (('11', 47), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('11', 47), 1, ['Co-Hyponym']), (('injured', 50), ('damaged', 4), 0, ['RelatedTo']), (('damaged', 4), ('injured', 50), 1, ['RelatedTo', 'Synonym']), (('destroyed', 56), ('damaged', 4), 0, ['RelatedTo']), (('damaged', 4), ('destroyed', 56), 1, ['RelatedTo']), (('damaged', 62), ('destroyed', 6), 0, ['RelatedTo']), (('destroyed', 6), ('damaged', 62), 1, ['RelatedTo']), (('23', 82), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('23', 82), 1, ['Co-Hyponym']), (('120', 87), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('120', 87), 1, ['Co-Hyponym']), (('120', 98), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('120', 98), 1, ['Co-Hyponym']), (('23', 104), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('23', 104), 1, ['Co-Hyponym']), (('120', 108), ('100', 9), 0, ['Co-Hyponym']), (('100', 9), ('120', 108), 1, ['Co-Hyponym'])]"
